#misspelt	corrected	error-category
آاهي	آگاهي	1
آبات	آیات	1
آبباشد	آب باشد	2
آبد	آید	1
آبری	عابری	0
آبو	آب و	2
آت	آن	1
آتاتنورك	آتاتورك	1
آتان	آنان	1
آتس	آتش	1
آتشينتخصص	آتشين تخصص	2
آتها	آنها	1
آتهايي	آنهايي	1
آدس	آدرس‌	1
آذادگی	آزادگی	1
آذار	آزار	1
آذربايحان	آذربايجان	1
آر	آری	1
آراای	آرایی	1
آرادي	آزادي	1
آراع	آراء	1
آردند	آوردند	1
آروده	آورده	3
آزاد يخلق	آزادي خلق	0
آزادبار	آزاد بار	2
آزازدي	آزادي	1
آزايشات	آزمايشات	1
آزم	عازم	0
آزوقه	آذوقه	1
آزير	آژير	1
آسایشن	آسایشند	1
آسباي	آسیاي	1
آسب‌پذبري	آسيب‌پذیری	1
آسفلت	آسفالت	1
آسكار	آشكار	1
آسودی	آسودگی	1
آش پز خونه	آشپزخونه	0
آش پزخانه	آشپزخانه	0
آشاني	آساني	1
آشته	آشفته	1
آشسكارتر	آشكارتر	1
آشنایمده	آشناییم ده	2
آشنتي	آشتي	1
آشورا	عاشورا	1
آعاز	آغاز	1
آغار	آغاز	1
آغذز	آغاز	1
آغشسته	آغشته	1
آفریش	آفرینش	1
آقريقا	آفريقا	1
آلاودگي	آلودگي	1
آلمنا	آلمان	3
آلومينبيوم	آلومينيوم	1
آلياژهيا	آلياژها يا	0
آلياژهيا	آلياژهای	3
آلژايمري	آلزايمري	1
آماد‌سازي	آماده‌سازي	1
آمد ه	آمده	0
آمدگي	آمادگي	1
آمدگيبها	آمدگيها	1
آمرد	آورد	1
آمريكاديدگاههاي	آمريكا ديدگاههاي	2
آمريگا	آمريکا	1
آمزيكا	آمريكا	1
آموخنه	آموخته	1
آمورزش	آموزش	1
آمورش	آموزش	1
آمپراتوري	امپراتوري	1
آنارا	آنرا	1
آناست	آن است	2
آنجه	آنچه	1
آنحا	آنها	1
آنخها	آنها	1
آنزا	آنرا	1
آنش	آتش	1
آنكاارا	آنكارا	1
آنكارلا	آنكارا	1
آنكنارا	آنكارا	1
آننان	آنان	1
آنهاچ	آنها	1
آنهم	آن هم	2
آنههها	آنها	0
آنپنان	آنچنان	1
آنکونه	آنگونه	1
آنگه	آنکه	1
آهشته‌تر	آهسته‌تر	1
آهنا	آنها	3
آوبشين	آویشين	1
آوربل	آوریل	1
آوريسماعه	آوريم سماعه	2
آوزدن	آوردن	1
آياري	آبياري	1
آين	این	1
آيهى‏توان	آيه مى‏توان	0
آ‚اده	آماده	1
ئجود	وجود	1
ئر	در	1
ا	را	1
ا ز	از	0
ا زالفاظ	ازالفاظ	0
ا زحوري	از حوري	0
ا زنظر	از نظر	0
ا ين	اين	0
ا گر	اگر	0
اآگاهي	آگاهي	1
ائعلام	اعلام	1
ااست	است	1
اافراد	افراد	1
االه	الله	1
اب	آب	1
اباد	آباد	1
اباديها	آباديها	1
ابارتي	عبارتي	1
ابازي	بازي	1
ابام	ایام	1
ابتدايیي	ابتدايي	1
ابته	البته	1
ابتکا	اتکا	1
ابرارهاي	ابزارهاي	1
ابراري	ابزاري	1
ابران	ایران	1
ابرايه	ابراهیم	0
ابربشم	ابریشم	1
ابرزاز	ابراز	1
ابزاهاي	ابزارهاي	1
ابط	روابط	0
ابغادي	ابعادي	1
ابن	این	1
ابنجا	اینجا	1
ابنداي	ابتداي	1
ابنكه	اینكه	1
ابودن	بودن	1
ابياري	آبياري	1
اتاعت	اطاعت	1
اتاف	اتاق	1
اتانبول	استانبول	1
اتباط	ارتباط	1
اتباطات	ارتباطات	1
اتجام	انجام	1
اتحاذ	اتخاذ	1
اتخاد	اتخاذ	1
اتدازه	اندازه	1
اتدكي	اندكي	1
اتریخی	تاریخی	3
اتش نشاني	آتش نشاني	0
اتصار	انصار	1
اتصل	اتصال	1
اتظار	انتظار	1
اتفاع	ارتفاع	1
اتفاقیي	اتفاقی	1
اتقال	انتقال	1
اتقلاب	انقلاب	1
اتلاعاتي	اطلاعاتي	1
اتلاق	اطلاق	1
اتلانتيك	آتلانتيك	1
اتمبیل	اتومبیل	1
اتمبیلی	اتومبیلی	1
اتن	آتن	1
اتومواتيك	اتوماتيك	1
اتوموبیلی	اتومبیلی	1
اثات	اثرات	1
اجابري	اجباري	3
اجاز	اجازه	1
اجتاعي	اجتماعي	1
اجتنماع	اجتماع	1
اجر ا	اجرا	0
اجرا ي	اجراي	0
اجراز	اجرا	1
اجزاه	اجازه	3
اجزه	اجازه	1
اجنام	انجام	3
احاث	احداث	1
احتصاص	اختصاص	1
احتناب	اجتناب	1
احتیات	احتیاط	1
احدافي	اهدافي	1
احذ	اخذ	1
احساسانشان	احساساتشان	1
احسام	احشام	1
احلاقي	اخلاقي	1
احير	اخير	1
احگام	احکام	1
اخبر	اخیر	1
اختافات	اختلافات	1
اختبار	اختیار	1
اختصای	اختصاری	1
اختلف	اختلاف	1
اختناب	اختناق	1
اختناع	اختناق	1
اختياات	اختيارات	1
اختياج	احتياج	1
اختيارا	اختيارات	1
اختيارت	اختيارات	1
اختيارمديراني	اختيار مديراني	2
اختيرا	اختيار	3
اخر	آخر	1
اخرين	آخرين	1
اخل	داخل	1
اخلااق	اخلاق	1
اخلاخ	اخلاق	1
اخنتصاص	اختصاص	1
اخنتيارات	اختيارات	1
اخهتلاف	اختلاف	1
اخيار	اختيار	1
اخيبر	اخیر	1
اخيربسياري	اخير بسياري	2
اخیار	اخبار	1
ادامخه‌ي	ادامه‌ي	1
ادان	دادن	0
ادخلي	داخلي	3
اددعا	ادعا	1
ادرد	دارد	3
ادرس	آدرس	1
ادرسهاي	آدرسهاي	1
ادريافتى	دریافتی	1
ادشته	داشته	3
ادغا	ادعا	1
اده	داده	1
اذارات	ادارات	1
اذربايجان	آذربايجان	1
اذيیت	اذیت	1
ار	از	1
ار	را	3
ار زش	ارزش	0
ارئه	ارائه	1
ارارده	اراده	1
اراريه	ارايه	1
اراعه	ارائه	1
ارامش	آرامش	1
اراه	اراده	1
اراوه	ارائه	1
اربگان	اربکان	1
ارتباتي	ارتباطي	1
ارتباطتات	ارتباطات	1
ارتباطلت	ارتباطات	1
ارتس	ارتش	1
ارتعاسات	ارتعاشات	1
ارتفاء	ارتقاء	1
ارتفاقات	اتفاقات	1
ارتیاط	ارتباط	1
ارجراعي	ارجاعي	1
ارحاع	ارجاع	1
ارد	آرد	1
ارد ن	اردن	0
اردي	ارادي	1
ارزتده	ارزنده	1
ارززشها	ارزشها	1
ارزشتبار	ارزش تبار	2
ارزشهتاي	ارزشهاي	1
ارزشکگذاري	ارزشگذاري	1
ارزو	آرزو	1
ارساال	ارسال	1
ارسالاي	ارسال هاي	0
ارسد	ارشد	1
ارسل	ارسال	1
ارصاء	ارضاء	1
ارصه	عرصه	1
ارصه‌ي	عرصه‌ي	1
ارضه	عرضه	1
ارطباط	ارتباط	1
ارفام	ارقام	1
ارماتوربندي	آرماتوربندي	1
ارمان	آرمان	1
ارمانهاي	آرمانهاي	1
ارمايش	آزمايش	0
ارمقان	ارمغان	1
ارنفاعات	ارتفاعات	1
ارنوپا	اروپا	1
اروپاو	اروپا و	2
ارپا	اروپا	1
ازآن	از آن	2
ازآنجا	از آنجا	2
ازآنچه	از آنچه	2
ازادي	آزادي	1
ازار	آزار	1
ازبار	از بار	2
ازتاديه	از تاديه	2
